;# galnum,[OII]3727,Hb,[OIII]4959,[OIII]5007,[OI]6300,Ha,[NII]6584,[SII]6717,[SII]6731,[SIII]9069,[SIII]9532,flag,E(B-V),dE(B-V),scale_blue,dscale_blue
1	0.00	0.00	0.26	0.00	0.00	4.88	1.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2	0.00	0.00	1.03	0.00	0.00	2.27	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	0.00	0.00	1.30	0.00	0.07	3.53	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4	0.00	0.96	0.26	0.00	0.00	4.88	1.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5	0.00	1.08	1.03	0.00	0.00	2.27	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6	0.00	1.00	1.30	0.00	0.07	3.53	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7	1.80	0.96	0.26	1.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8	0.60	0.12	0.15	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9	1.80	0.96	0.26	1.03	0.00	4.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	0.85	0.14	0.00	0.06	0.00	0.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11	1.23	0.29	0.20	0.67	0.09	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	0.60	0.12	0.15	0.45	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13	1.80	0.96	0.26	1.03	0.00	4.88	1.78	0.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14	0.85	0.14	0.00	0.06	0.00	0.62	0.18	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15	0.40	0.06	0.05	0.16	0.00	0.17	0.03	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16	1.23	0.29	0.20	0.67	0.09	1.75	0.42	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17	0.50	0.48	0.00	0.00	0.00	2.23	0.87	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18	0.00	0.02	0.01	0.05	0.00	0.10	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20	0.00	0.00	0.00	0.00	0.10	3.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21	0.00	0.00	0.00	0.00	0.10	3.11	0.25	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22	0.00	0.03	0.02	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23	0.00	0.02	0.01	0.05	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24	0.00	0.02	0.01	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25	0.50	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26	0.50	0.48	0.00	0.00	0.00	2.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
