;# galnum,[OII]3727,Hb,[OIII]4959,[OIII]5007,[OI]6300,Ha,[NII]6584,[SII]6717,[SII]6731,[SIII]9069,[SIII]9532,flag,E(B-V),dE(B-V),scale_blue,d scale_blue
1 	0.56 	0.145 	0.04 	0.15 	0.0 	0.545 	0.165 	0.115 	0.075 	0.0 	0.0 	BR_scaled        0.27 	0.14 	1.06 	0.16 	
2 	0.07 	0.02 	0.01 	0.02 	0.0 	0.085 	0.025 	0.025 	0.015 	0.0 	0.0 	        B        0.0 	0.0 	1.0 	0.0 	
3 	1.57 	0.835 	0.225 	0.9 	0.0 	4.86 	1.77 	0.755 	0.56 	0.0 	0.0 	BR_scaled        0.72 	0.14 	1.8 	0.26 	
4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.345 	0.195 	0.0 	0.0 	0.0 	0.0 	        R        0.0 	0.0 	1.0 	0.0 	
5 	1.98 	0.73 	0.26 	0.845 	0.0 	2.59 	0.53 	0.345 	0.315 	0.0 	0.0 	BR_scaled        0.21 	0.11 	1.32 	0.15 	
6 	0.23 	0.425 	0.0 	0.025 	0.0 	1.37 	0.415 	0.13 	0.085 	0.0 	0.0 	BR_scaled        0.12 	0.17 	1.41 	0.24 	
7 	0.145 	0.06 	0.0 	0.05 	0.0 	0.18 	0.085 	0.105 	0.06 	0.0 	0.0 	BR_scaled        0.05 	0.52 	0.46 	0.29 	
8 	0.685 	0.12 	0.0 	0.04 	0.0 	0.61 	0.175 	0.125 	0.095 	0.0 	0.0 	        B        0.0 	0.0 	1.0 	0.0 	
9 	0.275 	0.075 	0.035 	0.11 	0.0 	0.355 	0.095 	0.065 	0.035 	0.0 	0.0 	        B        0.0 	0.0 	1.0 	0.0 	
10 	1.67 	0.78 	0.75 	2.27 	0.0 	2.22 	0.185 	0.2 	0.13 	0.0 	0.0 	BR_scaled        0.0 	0.36 	1.08 	0.4 	
11 	0.07 	0.015 	0.0 	0.01 	0.0 	0.05 	0.01 	0.01 	0.005 	0.0 	0.0 	        B        0.0 	0.0 	1.0 	0.0 	
12 	0.62 	0.13 	0.075 	0.255 	0.0 	0.435 	0.03 	0.055 	0.035 	0.0 	0.0 	BR_scaled        0.14 	0.2 	0.93 	0.19 	
13 	0.62 	0.145 	0.12 	0.29 	0.0 	0.415 	0.055 	0.09 	0.065 	0.0 	0.0 	BR_scaled        0.0 	0.24 	1.02 	0.25 	
14 	0.185 	0.05 	0.0 	0.0 	0.0 	0.54 	0.215 	0.075 	0.065 	0.0 	0.0 	        B        0.0 	0.0 	1.0 	0.0 	
15 	1.19 	0.275 	0.19 	0.66 	0.085 	1.735 	0.41 	0.31 	0.22 	0.0 	0.0 	        B        0.0 	0.0 	1.0 	0.0 	
16 	0.145 	0.08 	0.0 	0.03 	0.0 	0.355 	0.18 	0.085 	0.055 	0.0 	0.0 	BR_scaled        0.4 	0.22 	1.11 	0.25 	
17 	2.585 	0.98 	1.29 	3.63 	0.065 	3.52 	0.265 	0.36 	0.29 	0.0 	0.0 	       BR        0.23 	0.02 	1.0 	0.0 	
18 	0.06 	0.025 	0.015 	0.035 	0.0 	0.04 	0.0 	0.005 	0.0 	0.0 	0.0 	        B        0.0 	0.0 	1.0 	0.0 	
19 	0.06 	0.02 	0.0 	0.01 	0.0 	0.155 	0.055 	0.05 	0.035 	0.0 	0.0 	BR_scaled        1.18 	0.39 	0.23 	0.13 	
20 	0.0 	0.0 	0.0 	0.0 	0.09 	3.1 	0.245 	0.385 	0.285 	0.0 	0.0 	        R        0.0 	0.0 	1.0 	0.0 	
21 	0.575 	0.115 	0.145 	0.44 	0.0 	0.34 	0.055 	0.05 	0.03 	0.0 	0.0 	       BR        0.04 	0.07 	1.0 	0.0 	
22 	0.0 	0.02 	0.01 	0.045 	0.0 	0.095 	0.02 	0.02 	0.015 	0.0 	0.0 	       BR        0.52 	0.14 	1.0 	0.0 	
23 	0.29 	0.105 	0.0 	0.045 	0.0 	0.695 	0.145 	0.065 	0.05 	0.0 	0.0 	BR_scaled        0.89 	0.23 	0.71 	0.17 	
24 	0.13 	0.175 	0.0 	0.0 	0.0 	0.77 	0.31 	0.145 	0.13 	0.0 	0.0 	BR_scaled        0.43 	0.34 	0.88 	0.31 	
25 	0.37 	0.05 	0.045 	0.145 	0.0 	0.16 	0.025 	0.035 	0.035 	0.0 	0.0 	        B        0.0 	0.0 	1.0 	0.0 	
26 	0.39 	0.415 	0.0 	0.0 	0.0 	2.165 	0.815 	0.235 	0.275 	0.0 	0.0 	       BR        0.6 	0.15 	1.0 	0.0 	
27 	6.115 	7.57 	0.0 	1.22 	0.0 	42.905 	14.415 	5.095 	3.91 	0.0 	0.0 	       BR        0.69 	0.01 	1.0 	0.0 	
28 	1.845 	0.96 	0.0 	0.3 	0.13 	4.745 	1.64 	0.94 	0.54 	0.0 	0.0 	       BR        0.56 	0.03 	1.0 	0.0 	
29 	0.88 	0.245 	0.0 	0.14 	0.0 	0.7 	0.58 	0.465 	0.355 	0.0 	0.0 	       BR        0.0 	0.15 	1.0 	0.0 	
30 	0.4 	0.185 	0.0 	0.135 	0.0 	1.46 	0.56 	0.325 	0.235 	0.0 	0.0 	BR_scaled        1.01 	0.28 	0.65 	0.19 	
31 	0.0 	0.0 	0.0 	0.0 	0.0 	0.265 	0.085 	0.055 	0.055 	0.0 	0.0 	        R        0.0 	0.0 	1.0 	0.0 	
32 	0.515 	0.21 	0.0 	0.12 	0.0 	0.59 	0.215 	0.125 	0.075 	0.0 	0.0 	BR_scaled        0.0 	0.27 	1.48 	0.41 	
33 	6.355 	2.45 	2.605 	8.23 	0.0 	9.375 	0.55 	0.885 	0.605 	0.0 	0.0 	       BR        0.29 	0.03 	1.0 	0.0 	
