;# galnum,[OII]3727,Hb,[OIII]4959,[OIII]5007,[OI]6300,Ha,[NII]6584,[SII]6717,[SII]6731,[SIII]9069,[SIII]9532,flag,E(B-V),dE(B-V),scale_blue,d scale_blue
1 	0.08 	0.025 	0.01 	0.02 	0.0 	0.005 	0.005 	0.005 	0.005 	0.0 	0.0 	BR_scaled 	0.0 	0.0 	0.0 	0.0 	
2 	0.01 	0.0 	0.0 	0.0 	0.0 	0.005 	0.005 	0.005 	0.005 	0.0 	0.0 	        B 	0.0 	0.0 	0.0 	0.0 	
3 	0.23 	0.125 	0.035 	0.13 	0.0 	0.02 	0.01 	0.005 	0.01 	0.0 	0.0 	BR_scaled 	0.0 	0.0 	0.0 	0.0 	
4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.025 	0.025 	0.0 	0.0 	0.0 	0.0 	        R 	0.0 	0.0 	0.0 	0.0 	
5 	0.22 	0.08 	0.03 	0.095 	0.0 	0.01 	0.01 	0.005 	0.005 	0.0 	0.0 	BR_scaled 	0.0 	0.0 	0.0 	0.0 	
6 	0.04 	0.075 	0.0 	0.005 	0.0 	0.01 	0.005 	0.0 	0.005 	0.0 	0.0 	BR_scaled 	0.0 	0.0 	0.0 	0.0 	
7 	0.155 	0.04 	0.0 	0.04 	0.0 	0.01 	0.015 	0.015 	0.01 	0.0 	0.0 	BR_scaled 	0.0 	0.0 	0.0 	0.0 	
8 	0.165 	0.02 	0.0 	0.02 	0.0 	0.01 	0.005 	0.005 	0.005 	0.0 	0.0 	        B 	0.0 	0.0 	0.0 	0.0 	
9 	0.025 	0.005 	0.005 	0.01 	0.0 	0.005 	0.005 	0.005 	0.005 	0.0 	0.0 	        B 	0.0 	0.0 	0.0 	0.0 	
10 	0.63 	0.3 	0.28 	0.85 	0.0 	0.05 	0.025 	0.01 	0.01 	0.0 	0.0 	BR_scaled 	0.0 	0.0 	0.0 	0.0 	
11 	0.01 	0.005 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.005 	0.0 	0.0 	        B 	0.0 	0.0 	0.0 	0.0 	
