testdata	 Median Oxygen abundance (12+log(O/H))	 16th percentile	 84th percentile
KD02comb_updated	 8.839000	 0.052000	 0.037000
KD02_NIIOII	 8.839000	 0.052000	 0.037000
KD02_NIIHa	 8.811000	 0.092000	 0.056000
KD02_R23_updated	 8.630000	 0.087000	 0.058000
M91	 8.763000	 0.097000	 0.061000
Z94	 8.926000	 0.053000	 0.048000
PP04_N2	 8.781000	 0.005000	 0.004000
PP04_O3N2	 8.667000	 0.007000	 0.006000
Pi01_Z	 8.596000	 0.002000	 0.002000
D02	 8.089000	 0.150000	 0.102000
E(B-V)	 0.706000	 0.131000	 0.173000
